"Structure of NEW_SMILES [idcode]","NEW_SMILES","pIC50","amw","lipinskiHBA","lipinskiHBD","NumRotatableBonds","NumHBD","NumHBA","NumHeavyAtoms","NumAtoms","NumHeteroatoms","NumAmideBonds","FractionCSP3","NumRings","NumAromaticRings","NumAliphaticRings","NumSaturatedRings","NumHeterocycles","NumAromaticHeterocycles","NumSaturatedHeterocycles","NumAliphaticHeterocycles","NumSpiroAtoms","NumBridgeheadAtoms","NumAtomStereoCenters","NumUnspecifiedAtomStereoCenters","labuteASA","tpsa","CrippenClogP","CrippenMR","chi0v","chi1v","chi2v","chi3v","chi4v","chi0n","chi1n","chi2n","chi3n","chi4n","hallKierAlpha","kappa1","kappa2","kappa3","Phi","Shape Index","Molecular Flexibility","Molecular Complexity"
"fmoq`@DL|AqTfUm]VyuYVgIJbfZvfiYijj`@j@@@","O=C1CCc2cc(=CCC(=O)N3CC(COc4ccccc4)C3)cnc2=N1","6.57675412606319","363.417","6","0","5","0","4","27","48","6","2","0.333333333333333","4","2","2","1","3","1","1","2","0","0","0","0","156.748046696889","71.86","0.882","99.435","15.0051787677174","9.19516665760884","4.85399102982258","4.85399102982258","3.27745979858451","15.0051787677174","9.19516665760884","4.85399102982258","4.85399102982258","3.27745979858451","-3.02","17.3966384126616","7.69653909474264","4.21622161594277","4.95903361704265","0.7037","0.48785","0.76723"
"fcqb@CEFQvpRBSLk|{ZrjklEhuVsWAAEUMMKSRU@@@","O=C1CCc2cc(=CCC(=O)N3CC(COc4ccccc4F)C3)cnc2=N1","6.42250820016277","381.407","6","0","5","0","4","28","48","7","2","0.333333333333333","4","2","2","1","3","1","1","2","0","0","0","0","160.913582099815","71.86","1.0211","99.393","15.305792971537","9.30081556078012","4.93627385153626","4.93627385153626","3.31608238508183","15.305792971537","9.30081556078012","4.93627385153626","4.93627385153626","3.31608238508183","-3.09","18.2815580907614","7.87891289038522","4.08138709132372","5.14424298920093","0.67857","0.45908","0.77872"
"fcqb@CEFqvpRBSJwl{ZrjktyhuVsW@DUUMMKSRU@@@","O=C1CCc2cc(=CCC(=O)N3CC(COc4cccc(F)c4)C3)cnc2=N1","6.3585258894959","381.407","6","0","5","0","4","28","48","7","2","0.333333333333333","4","2","2","1","3","1","1","2","0","0","0","0","160.913582099815","71.86","1.0211","99.393","15.305792971537","9.29483249663642","4.9068682090158","4.9068682090158","3.3175227747275","15.305792971537","9.29483249663642","4.9068682090158","4.9068682090158","3.3175227747275","-3.09","18.2815580907614","7.87891289038522","4.24329914896748","5.14424298920093","0.67857","0.49093","0.77625"
"fcqb@CEGqvpRBSJzl{ZrjktYhuVsW@AUUMMKSRU@@@","O=C1CCc2cc(=CCC(=O)N3CC(COc4ccc(F)cc4)C3)cnc2=N1","6.5003129173816","381.407","6","0","5","0","4","28","48","7","2","0.333333333333333","4","2","2","1","3","1","1","2","0","0","0","0","160.913582099815","71.86","1.0211","99.393","15.305792971537","9.29483249663642","4.92442363193677","4.92442363193677","3.29156123218477","15.305792971537","9.29483249663642","4.92442363193677","4.92442363193677","3.29156123218477","-3.09","18.2815580907614","7.87891289038522","4.24329914896748","5.14424298920093","0.71429","0.49093","0.77181"
"fcq`@DL|AqTfUm]VyuYeirRhiWmijVZZjhBBh@@","Cc1ccccc1OCC1CN(C(=O)CC=c2cnc3c(c2)CCC(=O)N=3)C1","6.75202673363819","377.444","6","0","5","0","4","28","51","6","2","0.363636363636364","4","2","2","1","3","1","1","2","0","0","0","0","163.112988811285","71.86","1.19042","104.172","15.9278284985278","9.61183332427551","5.1932157692319","5.1932157692319","3.4726656228592","15.9278284985278","9.61183332427551","5.1932157692319","5.1932157692319","3.4726656228592","-3.02","18.3482805189656","7.92252553990853","4.10896886229513","5.19159717946111","0.67857","0.45908","0.77872"
"fcq`@DL|AqTfUm]VyuYWirRhifmijVZZjh@Jh@@","Cc1ccc(OCC2CN(C(=O)CC=c3cnc4c(c3)CCC(=O)N=4)C2)cc1","6.03574036980315","377.444","6","0","5","0","4","28","51","6","2","0.363636363636364","4","2","2","1","3","1","1","2","0","0","0","0","163.112988811285","71.86","1.19042","104.172","15.9278284985278","9.60585026013181","5.13176880760036","5.13176880760036","3.39523382001656","15.9278284985278","9.60585026013181","5.13176880760036","5.13176880760036","3.39523382001656","-3.02","18.3482805189656","7.92252553990852","4.2717491163005","5.19159717946111","0.71429","0.49093","0.77181"
"eol\L@@DFO@GBdfUm]VyuYVuhxdTbRfVn^ZZeffjj@@@j@@@","O=C1CCc2cc(=CCC(=O)N3CC(COc4ccc5ccccc5c4)C3)cnc2=N1","5.85078088734462","413.477","6","0","5","0","4","31","54","6","2","0.28","5","3","2","1","3","1","1","2","0","0","0","0","179.429711228624","71.86","2.0352","116.941","17.1598793060966","10.5998671959881","5.83171630877828","5.83171630877828","4.01793011535909","17.1598793060966","10.5998671959881","5.83171630877828","5.83171630877828","4.01793011535909","-3.54","19.4250782090821","8.29942062456245","4.33078336130465","5.20054499103855","0.67742","0.46176","0.78235"
"ec`RDH@JCBagM`@cIEEDmEbidhdddmaPIhhYTuLmPLEEMMKSSEP@@","O=C1CCc2cc(=CCC(=O)N3CC(c4nc5ccccc5s4)C3)cnc2=N1","6.42829116819131","390.468","6","0","3","0","5","28","46","7","2","0.285714285714286","5","3","2","1","4","2","1","2","0","0","0","0","164.811235136078","75.52","1.5803","106.369","15.9844318937689","10.1714193554713","6.4080200111936","6.4080200111936","4.62071254657651","15.1679353128412","9.35492277454354","5.20912717241048","5.20912717241048","3.57080499821556","-2.93","17.1876480054964","6.90591988441772","3.22046303879078","4.23916143312607","0.64286","0.4314","0.82134"
"ekh\DH@KJioC`@cIEEDdhbULeDddelJACMKFnemjA`jJZZVffJ`@@","Cc1c(C2CN(C(=O)CC=c3cnc4c(c3)CCC(=O)N=4)C2)sc2ccccc12","6.14935376481693","403.507","5","0","3","0","4","29","50","6","2","0.304347826086956","5","3","2","1","4","2","1","2","0","0","0","0","171.956529269528","62.63","2.49372","113.311","17.0372182982689","10.7242057599713","7.23617194995773","7.23617194995773","5.39190146379712","16.2207217173412","9.90770917904358","5.80083002684738","5.80083002684738","4.09849044609934","-2.86","18.1865212331394","7.18979810755648","3.37662496793054","4.50887641189867","0.62069","0.43187","0.84517"
"ekh\L@@DFO@GBdfUm]VyvVWZNIEHdfnmcffiYijjZ`Bh@@@","Cc1c(C2CN(C(=O)CC=c3cnc4c(c3)CCC(=O)N=4)C2)oc2ccccc12","6.85078088734462","387.439","6","0","3","0","4","29","50","6","2","0.304347826086956","5","3","2","1","4","2","1","2","0","0","0","0","167.110495263194","75.77","2.02522","107.7","16.2207217173412","9.90770917904358","5.80083002684738","5.80083002684738","4.09849044609934","16.2207217173412","9.90770917904358","5.80083002684738","5.80083002684738","4.09849044609934","-3.28","17.7938648199707","6.95463346571472","3.2437921699292","4.26723475039213","0.62069","0.43187","0.84517"
"egd\LH@GFea@k`HaIe[[yvueUWhXDdl\zFvN`@ijjZZVfdj`@@","Cc1c(C2CN(C(=O)CC=c3cnc4c(c3)CCC(=O)N=4)C2)oc2ccc(Cl)cc12","6.6903698325741","421.884","6","0","3","0","4","30","50","7","2","0.304347826086956","5","3","2","1","4","2","1","2","0","0","0","0","177.413761490076","75.77","2.67862","112.71","17.2772648671793","10.3853394910804","6.09047709235035","6.09047709235035","4.28940774067583","16.5213359211608","10.0073750180711","5.85537998956261","5.85537998956261","4.11730471672297","-2.99","19.002106862159","7.36185455931589","3.41143954756076","4.66302490132643","0.63333","0.43232","0.85945"
"egdRD@@DFOB`GDfUm]VyvUe^cbQRIKhXzyijVZZj@@`J`@@@","Cc1cc(C2CN(C(=O)CC=c3cnc4c(c3)CCC(=O)N=4)C2)nc2ccccc12","6.61618463401957","398.466","6","0","3","0","4","30","52","6","2","0.291666666666667","5","3","2","1","4","2","1","2","0","0","0","0","173.535813980064","75.52","1.82722","113.229","16.8370372915669","10.2740247532693","5.91056564326644","5.91056564326644","4.12169267933473","16.8370372915669","10.2740247532693","5.91056564326644","5.91056564326644","4.12169267933473","-3.41","18.6080110437841","7.44471641076821","3.49304762866987","4.61771217298052","0.63333","0.4208","0.83644"
"figH`@DL|TCdfUm]VyvUirRhizMijVZZj@Bh@@","O=C1CCc2cc(=CCC(=O)N3CC(c4ccccn4)C3)cnc2=N1","6.61618463401957","334.379","6","0","3","0","4","25","43","6","2","0.315789473684211","4","2","2","1","4","2","1","2","0","0","0","0","144.489207333932","75.52","0.3656","90.986","13.7596870223773","8.44259144148204","4.65550524099895","4.65550524099895","3.15448518690652","13.7596870223773","8.44259144148204","4.65550524099895","4.65550524099895","3.15448518690652","-2.89","15.626862245784","6.5472269844419","3.3307258957282","4.09250456711014","0.68","0.45087","0.78413"
"figp`@DL|ArSJvnk\{JtyITT}FtuKMMU@AT@@@","O=C1CCc2cc(=CCC(=O)N3CC(c4ccccc4)C3)cnc2=N1","6.31158017799729","333.391","5","0","3","0","3","25","44","5","2","0.3","4","2","2","1","3","1","1","2","0","0","0","0","145.269559352985","62.63","0.9706","93.191","13.889823696067","8.58279422191305","4.82043591254791","4.82043591254791","3.28598995903348","13.889823696067","8.58279422191305","4.82043591254791","4.82043591254791","3.28598995903348","-2.82","15.6928564407749","6.58917670721388","3.35652255680881","4.13612016516823","0.68","0.47527","0.76987"
"fcq`@DNZ@r|bbbVRbbRTVVRQeN^rFOQmTuMLuPHST@@@","CC(=O)N=c1ccc(C=CC(=O)N2CC(c3oc4ccccc4c3C)C2)c[nH]1","6.79317412396815","375.428","6","1","3","1","3","28","49","6","2","0.227272727272727","4","3","1","1","3","2","1","1","0","0","0","0","161.751384302327","78.67","3.15572","106.3427","15.8068883166609","9.20101196515905","4.96122054137267","4.96122054137267","3.45147218135634","15.8068883166609","9.20101196515905","4.96122054137267","4.96122054137267","3.45147218135634","-3.41","17.9767429944584","7.30671722361247","3.53342052116191","4.69110634507372","0.64286","0.30595","0.8024"
"ehZVL@@DGFcko`CElbbbVRbbRTVVRQfTRhx|rBbzF~AZijZYj`PfjV``@@","Cc1c(C2CN(C(=O)C=Cc3ccc(=NC(=O)Cn4ccnn4)[nH]c3)C2)oc2ccccc12","6.07417242537526","442.479","9","1","5","1","6","33","55","9","2","0.208333333333333","5","4","1","1","4","3","1","1","0","0","0","0","188.603813514703","109.38","2.42752","120.6907","18.0103364227265","10.6205242345968","5.69766662003469","5.69766662003469","3.90718492650206","18.0103364227265","10.6205242345968","5.69766662003469","5.69766662003469","3.90718492650206","-4.27","20.622596976867","8.6969088497089","4.38145371226625","5.43493473188166","0.63636","0.33507","0.82405"
"egdRL@@DJF@`OJdfUe_Un]eew`QSQKKhXzyijeffjij@J`@@@","Cc1c(C2CN(C(=O)CC=c3cnc4c(c3)CNCC(=O)N=4)C2)oc2ccccc12","6.41566877563247","402.454","7","1","3","1","5","30","52","7","2","0.304347826086956","5","3","2","1","4","2","1","2","0","0","0","0","172.660357446802","87.8","1.18222","111.0857","16.7207217173412","10.1148159602301","5.78430313347622","5.78430313347622","4.09073301270245","16.7207217173412","10.1148159602301","5.78430313347622","5.78430313347622","4.09073301270245","-3.32","18.692403767536","7.49606147693081","3.41273402186813","4.67064692643544","0.6","0.42804","0.84935"
"eolRL@@DJFH`@flbbRbbQrRfbrbTRrxDtLrJFfn^ZZjVZZjfh@j@@@","Cc1c(C2CN(C(=O)CC=c3cnc4c(c3)CN(C)CC(=O)N=4)C2)oc2ccccc12","6.95078197732982","416.481","7","0","3","0","5","31","55","7","2","0.333333333333333","5","3","2","1","4","2","1","2","0","0","0","0","179.235271047794","79.01","1.52442","115.713","17.6679353128412","10.4873783065772","6.03806598680302","6.03806598680302","4.34632571112844","17.6679353128412","10.4873783065772","6.03806598680302","6.03806598680302","4.34632571112844","-3.32","19.6321286093256","7.73933009774334","3.76712340940685","4.90127496222328","0.58065","0.42355","0.8577"
"egdRL@@DFA@`OJdfUe_Un]eew`QSQKKhXzyijfjfjij@E`@@@","Cc1c(C2CN(C(=O)CCc3cnc4c(c3)=NCCC(=O)N=4)C2)oc2ccccc12","6.5003129173816","402.454","7","0","4","0","5","30","52","7","2","0.347826086956522","5","3","2","1","4","2","1","2","0","0","0","0","172.695420781238","88.13","1.86432","109.633","16.7976918248381","10.2506203177517","5.85545313830769","5.85545313830769","4.1129751763108","16.7976918248381","10.2506203177517","5.85545313830769","5.85545313830769","4.1129751763108","-3.35","18.6642694048737","7.47893317769735","3.40316023347931","4.65296078965306","0.6","0.45629","0.85157"
"fns@P@@DEWHhhddieDdXdfB}FkViZ`RHZfHDMP","Cc1ccc(Oc2coc(/C=C/c3ccoc3)cc2=O)c(C)c1","5.64016451766011","308.333","4","0","4","0","4","23","39","4","0","0.105263157894737","3","3","0","0","2","2","0","0","0","0","0","0","133.189970374664","52.58","4.81234","88.604","12.9064958537517","7.19902984265722","3.35183243268389","3.35183243268389","2.15622969835921","12.9064958537517","7.19902984265722","3.35183243268389","3.35183243268389","2.15622969835921","-3.01","14.9077556212765","6.39947193720486","3.60583003671639","4.14790277152464","0.65217","0.2286","0.74264"
"fmoaa@GLLTDPRHrJJJYFJKIJHjIK`g^SfZxH`iZZj`@J@@@","O=c1cc(COc2ccccc2)n(C2CC2)cc1Oc1cccc(Cl)c1Cl","5.82390874094432","402.277","4","0","6","0","4","27","44","6","0","0.19047619047619","4","3","1","1","1","1","0","0","0","0","0","0","166.424293316045","40.46","5.8613","106.283","15.9119186095924","9.41984562547921","5.13637449993336","5.13637449993336","3.1410478653964","14.4000607175555","8.66391667946076","4.33481137307999","4.33481137307999","2.81061426344128","-2.43","17.9577031972824","7.6681500077054","4.12349630671945","5.10008747817082","0.55556","0.35731","0.79438"
"fakaa@GDMDDPJHrJJIJZFKYIQILd{s^pPTRtu@@P@@","O=c1cc(COc2ccccc2)[nH]cc1Oc1c(Cl)cccc1Cl","5.30277065724028","362.212","4","1","5","1","3","24","37","6","0","0.0555555555555556","3","3","0","0","1","1","0","0","0","0","0","0","148.125326639789","51.32","5.053","94.3727","13.9731411825298","7.902019601902","3.80059458664675","3.80059458664675","2.50589643771614","12.4612832904928","7.14609065588354","3.20533268484056","3.20533268484056","2.03130008126929","-2.43","16.4285624672281","7.42643571216536","3.90530164289547","5.08356929192343","0.625","0.45415","0.72413"
"fi{aa@GDLdDPJHrJJIJZFKIYJIIdg^zNBBbVfj@@`@@","Cn1cc(Oc2c(Cl)cccc2Cl)c(=O)cc1COc1ccccc1","6.14266750356873","376.239","4","0","5","0","4","25","40","6","0","0.105263157894737","3","3","0","0","1","1","0","0","0","0","0","0","154.700240240781","40.46","5.0634","98.993","14.9203547780297","8.29236375030428","4.16063746334349","4.16063746334349","2.7053968080034","13.4084968859928","7.53643480428583","3.5653755615373","3.5653755615373","2.23080045155655","-2.43","17.3948839750671","7.63695038988443","4.1585940537479","5.31375463821533","0.6","0.4457","0.75032"
"fmoaa@GDLTDPJHrJJIJZFKIJHjIIdg^SfZxHJIZZj`@J@@@","O=c1cc(COc2ccccc2)n(C2CC2)cc1Oc1c(Cl)cccc1Cl","5.19178902707578","402.277","4","0","6","0","4","27","44","6","0","0.19047619047619","4","3","1","1","1","1","0","0","0","0","0","0","166.424293316045","40.46","5.8613","106.283","15.9119186095924","9.41984562547921","4.92494970286035","4.92494970286035","3.29389964104609","14.4000607175555","8.66391667946076","4.32968780105416","4.32968780105416","2.81930328459924","-2.43","17.9577031972824","7.6681500077054","4.12349630671945","5.10008747817082","0.55556","0.42097","0.78235"
"fegQRBFAHkSl`bFSklbbbbRfebvRTRWIAbN\DQCRtu@@P@@","O=c1cc(COc2ccccc2)[nH]cc1Oc1cccc([N+](=O)[O-])c1Cl","4.93070198788447","372.764","7","1","6","1","5","26","39","8","0","0.0555555555555556","3","3","0","0","1","1","0","0","0","0","0","0","152.475036135407","94.46","4.3078","96.0171000000001","14.1029579399298","7.92382806180825","3.81377868356136","3.81377868356136","2.41238147691828","13.3470289939113","7.54586358879902","3.43389369287147","3.43389369287147","2.17881092582378","-3.32","17.501339728755","7.70907319383415","4.01212443164923","5.18919649842806","0.61538","0.40521","0.77625"
"fmwQRBFAHkSb`bFSklbbbbRfebrVRbRyHLYk`bHZVfj@@`@@","Cn1cc(Oc2cccc([N+](=O)[O-])c2Cl)c(=O)cc1COc1ccccc1","6.18045606445813","386.791","7","0","6","0","6","27","42","8","0","0.105263157894737","3","3","0","0","1","1","0","0","0","0","0","0","159.049949736399","83.6","4.3182","100.6374","15.0501715354297","8.31417221021053","4.1738215602581","4.1738215602581","2.61188184720554","14.2942425894113","7.9362077372013","3.79393656956821","3.79393656956821","2.37831129611104","-3.32","18.4704620490873","7.9232425682819","4.26649877820819","5.4202204134505","0.59259","0.39844","0.79493"
"ek`TJHDF@bEMGF`Hab]NrJJJIJZVKIJHjIKbPJHjkXzBHaiZZj`@J@@@","O=c1cc(COc2ccccc2)n(C2CC2)cc1Oc1cccc([N+](=O)[O-])c1Cl","4.7535014192042","412.829","7","0","7","0","6","29","46","8","0","0.19047619047619","4","3","1","1","1","1","0","0","0","0","0","0","170.774002811663","83.6","5.1161","107.9274","16.0417353669924","9.44165408538546","4.93813379977496","4.93813379977496","3.20038468024823","15.285806420974","9.06368961237624","4.55824880908506","4.55824880908506","2.96681412915373","-3.32","19.0163444850989","7.96623531448823","4.24594382478839","5.22374741343684","0.55172","0.37992","0.81905"
"fdy@R@NZlDDPdrnlsztYYt@ERtuD@@","COCc1cc(=O)c(Oc2ccc(Cl)cc2)co1","5.2839966563652","266.68","4","0","4","0","4","18","29","5","0","0.153846153846154","2","2","0","0","1","1","0","0","0","0","0","0","108.715077164302","48.67","3.2319","67.217","10.4380949772074","5.60701497531939","2.43228976432556","2.43228976432556","1.48654202096726","9.68216603118898","5.22905050231016","2.18031344898607","2.18031344898607","1.36055386329751","-1.78","12.6710866412795","5.70807163031068","3.120674612403","4.01819278790536","0.72222","0.47845","0.67534"
"fak@Q@BF]DDQJHrJJIIJFKYIQILD{s^pPQRtu@@P@@","O=c1cc(COc2ccccc2)occ1Oc1ccc(Cl)cc1Cl","6.16749108729376","363.196","4","0","5","0","4","24","36","6","0","0.0555555555555556","3","3","0","0","1","1","0","0","0","0","0","0","147.710495482852","48.67","5.3179","92.288","13.8813894729936","7.79718780879093","3.62087831179595","3.62087831179595","2.38338501042843","12.3695315809567","7.04125886277247","3.09041164379118","3.09041164379118","1.93631524410583","-2.43","16.4285624672281","7.42643571216536","4.10019600104476","5.08356929192343","0.66667","0.38","0.72942"
"fak@R@AF]DDPdrm{L~kJtX{s^p@URtu@@P@@","Cc1cc(Cl)ccc1Oc1coc(COc2ccccc2)cc1=O","6.34678748622466","342.778","4","0","5","0","4","24","39","5","0","0.105263157894737","3","3","0","0","1","1","0","0","0","0","0","0","143.772171370366","48.67","4.97292","92.015","13.7474960539659","7.73024109927708","3.56856117118117","3.56856117118117","2.33232326610016","12.9915671079475","7.35227662626786","3.33346406839343","3.33346406839343","2.10566576958829","-2.72","16.1488489743862","7.23460722396503","3.97082263283135","4.86794081036728","0.66667","0.38","0.73284"
"fak@P@@DD[HhhddieDdXdlpWhmzuKTDQ@PD@@@","Cc1ccc(Oc2coc(COc3ccccc3)cc2=O)c(C)c1","6.42021640338319","322.36","4","0","5","0","4","24","42","4","0","0.15","3","3","0","0","1","1","0","0","0","0","0","0","139.833847257881","48.67","4.62794","91.742","13.6136026349383","7.66329438976324","3.52691975096364","3.52691975096364","2.2921767056118","13.6136026349383","7.66329438976324","3.52691975096364","3.52691975096364","2.2921767056118","-3.01","15.8693845537926","7.04424161055331","3.84312475905923","4.65782412532075","0.66667","0.38","0.72942"
"fak@Q@FF]DDPRHrJJJYFJKYIQI\D{s^pQARtu@@P@@","O=c1cc(COc2ccccc2)occ1Oc1cccc(Cl)c1Cl","5.90308998699194","363.196","4","0","5","0","4","24","36","6","0","0.0555555555555556","3","3","0","0","1","1","0","0","0","0","0","0","147.710495482852","48.67","5.3179","92.288","13.8813894729936","7.80317087293463","3.91421277598207","3.91421277598207","2.27160547608887","12.3695315809567","7.04724192691618","3.11264964912869","3.11264964912869","1.94117187413375","-2.43","16.4285624672281","7.42643571216536","3.90530164289547","5.08356929192343","0.625","0.38","0.74185"
"fak@Q@BF]DDPJHrJJIJZFKYIQILd{s^pPTRtu@@P@@","O=c1cc(COc2ccccc2)occ1Oc1c(Cl)cccc1Cl","5.84771165561694","363.196","4","0","5","0","4","24","36","6","0","0.0555555555555556","3","3","0","0","1","1","0","0","0","0","0","0","147.710495482852","48.67","5.3179","92.288","13.8813894729936","7.80317087293463","3.70278797890905","3.70278797890905","2.42445725173855","12.3695315809567","7.04724192691618","3.10752607710286","3.10752607710286","1.9498608952917","-2.43","16.4285624672281","7.42643571216536","3.90530164289547","5.08356929192343","0.625","0.4546","0.72413"
"feg`pBH@QIp\peGYEMEDh]EEldhdaJCD\v`Hbeij@@`@@","Cc1c(Oc2coc(COc3ccccc3)cc2=O)cccc1[N+](=O)[O-]","5.45345733652187","353.33","7","0","6","0","6","26","41","7","0","0.105263157894737","3","3","0","0","1","1","0","0","0","0","0","0","148.121880865985","91.81","4.22772","93.6594","13.877312811366","7.75803262332704","3.64868519587459","3.64868519587459","2.28957126019112","13.877312811366","7.75803262332704","3.64868519587459","3.64868519587459","2.28957126019112","-3.61","17.220750004917","7.51936011596114","3.8904743279542","4.98034695207348","0.61538","0.40568","0.77625"
"fakAb@AF\BHRYV}f_UeZL]yoX@JiZY`@HA@L@","Cc1cc(Cl)ccc1Oc1coc(/C=C/c2ccccc2)cc1=O","5.31158017799729","338.79","3","0","4","0","3","24","39","4","0","0.05","3","3","0","0","1","1","0","0","0","0","0","0","144.333965223072","39.44","5.56432","96.611","13.7868415206948","7.79457203138002","3.64986330747565","3.64986330747565","2.39070105267462","13.0309125746763","7.4166075583708","3.41476620468791","3.41476620468791","2.16404355616275","-2.78","16.0910080190159","7.1951001899187","3.94426418497369","4.82401728556688","0.66667","0.28408","0.73783"
"fns@R@AF]TDPdrm{L~kKQcoU[@AUKSLte@`F@","Cc1cc(Cl)ccc1Oc1coc(/C=C/c2ccoc2)cc1=O","5.61083391563547","328.751","4","0","4","0","4","23","36","5","0","0.0555555555555556","3","3","0","0","2","2","0","0","0","0","0","0","137.128294487149","52.58","5.15732","88.877","13.0403892727794","7.26597655217106","3.39347385290142","3.39347385290142","2.19637625884757","12.2844603267609","6.88801207916183","3.15837675011368","3.15837675011368","1.9697187623357","-2.72","15.186288174982","6.58454732766008","3.73122593651097","4.34760144433277","0.65217","0.2286","0.74577"
"fns@R@AF]dDPdrm{L~kKQcoU[@AUKSMMD``F@","Cc1cc(Cl)ccc1Oc1coc(/C=C/c2ccco2)cc1=O","5.41005039867429","328.751","4","0","4","0","4","23","36","5","0","0.0555555555555556","3","3","0","0","2","2","0","0","0","0","0","0","137.128294487149","52.58","5.15732","88.877","13.0403892727794","7.27905663574599","3.36529018978046","3.36529018978046","2.19855627277673","12.2844603267609","6.90109216273677","3.13019308699272","3.13019308699272","1.97189877626486","-2.72","15.186288174982","6.58454732766008","3.73122593651097","4.34760144433277","0.65217","0.24782","0.73783"
"fakab@JbLxDPdrm{L~kJtX{s^p@URts@@PB@X","Cc1cc(Cl)ccc1Oc1coc(/C=C/c2cccnc2)cc1=O","5.53165266958784","339.778","4","0","4","0","4","24","38","5","0","0.0526315789473684","3","3","0","0","2","2","0","0","0","0","0","0","143.553613204018","52.33","4.95932","94.406","13.6567048470051","7.64430314420768","3.53470534157336","3.53470534157336","2.30110697867848","12.9007759009867","7.26633867119845","3.29960823878563","3.29960823878563","2.07444948216662","-2.85","16.0235404839319","7.14908815839438","3.91337023831863","4.77307098038461","0.66667","0.28408","0.74806"
"fnsAa@AF\BHjDILk^sOjrtX{uVp@URtsMIPHA`","Cc1cc(Cl)ccc1Oc1coc(/C=C/c2ccsc2)cc1=O","5.50584540598156","344.819","3","0","4","0","4","23","36","5","0","0.0555555555555556","3","3","0","0","2","2","0","0","0","0","0","0","141.974328493483","39.44","5.62582","94.488","13.8568858537071","8.20878559375312","4.09493974711692","4.09493974711692","2.82491561990228","12.2844603267609","6.88801207916183","3.15837675011368","3.15837675011368","1.9697187623357","-2.3","15.590178346174","6.8553702395287","3.91590137619045","4.64680194188287","0.65217","0.2286","0.74654"
"fnsAa@AF\BHrDILk^sOjrtX{uVp@URtsSQHHA`","Cc1cc(Cl)ccc1Oc1coc(/C=C/c2cccs2)cc1=O","5.34008379993015","344.819","3","0","4","0","4","23","36","5","0","0.0555555555555556","3","3","0","0","2","2","0","0","0","0","0","0","141.974328493484","39.44","5.62582","94.488","13.8568858537071","8.15870944700089","4.20283884748391","4.20283884748391","2.81656959544357","12.2844603267609","6.90109216273677","3.13019308699272","3.13019308699272","1.97189877626486","-2.3","15.590178346174","6.8553702395287","3.91590137619045","4.64680194188287","0.65217","0.26021","0.7473"
"fnsab@LbLxDPdrm{L~kKQcoU[@AUKSMMD`@@","Cc1cc(Cl)ccc1Oc1coc(C=Cc2ccc[nH]2)cc1=O","5.23507701535011","327.767","4","1","4","1","3","23","37","5","0","0.0555555555555556","3","3","0","0","2","2","0","0","0","0","0","0","137.543125644086","55.23","4.89242","90.9617","13.1321409823155","7.37790536471336","3.45940757246034","3.45940757246034","2.26800393513725","12.3762120362971","6.99994089170413","3.2243104696726","3.2243104696726","2.04134643862538","-2.72","15.186288174982","6.58454732766008","3.73122593651097","4.34760144433277","0.65217","0.28127","0.7473"
"fjmAb@AF\BHRYV}f_UZL]z@BjVffb@@","CCC=CCc1cc(=O)c(Oc2ccc(Cl)cc2C)co1","5.19111413264019","304.773","3","0","5","0","3","21","38","4","0","0.235294117647059","2","2","0","0","1","1","0","0","0","0","0","0","128.371697360198","39.44","4.90262","84.376","12.8143037371198","7.18369491237499","3.16566617805469","3.16566617805469","2.05864484503534","12.0583747911013","6.80573043936576","2.93056907526696","2.93056907526696","1.83198734852348","-2.0","15.39","7.1358024691358","4.23140495867769","5.22952380952381","0.71429","0.46705","0.7268"
"fjmAb@AF\BHRYV}f_UjL]z@BjVffb@@","CC(C)=CCc1cc(=O)c(Oc2ccc(Cl)cc2C)co1","5.23807216157947","304.773","3","0","4","0","3","21","38","4","0","0.235294117647059","2","2","0","0","1","1","0","0","0","0","0","0","128.371697360198","39.44","4.90262","84.376","13.0298466867436","7.02368164198606","3.15575648387458","3.15575648387458","1.99720731785637","12.2739177407251","6.64571716897683","2.92065938108684","2.92065938108684","1.77054982134451","-2.0","15.39","6.63520408163265","4.23140495867769","4.86265670553936","0.66667","0.43727","0.73028"
"fakAa@BF\BHeDYEEDdeCEldhdfB]yoXHHiZY`@HA@L@","O=c1cc(/C=C/c2ccccc2)occ1Oc1ccc(Cl)cc1Cl","5.34390179798717","359.208","3","0","4","0","3","24","36","5","0","0.0","3","3","0","0","1","1","0","0","0","0","0","0","148.272289335557","39.44","5.9093","96.884","13.9207349397225","7.86151874089387","3.70218044809043","3.70218044809043","2.44176279700289","12.4088770476856","7.10558979487541","3.17171378008565","3.17171378008565","1.9946930306803","-2.49","16.3706707083748","7.38662854795832","4.07329271548312","5.03850265015444","0.66667","0.28408","0.73536"
"fns@Q@BF]TDQJHrJJIIJFKYIQI`g^jvBBJVfYiJA@L@","O=c1cc(/C=C/c2ccoc2)occ1Oc1ccc(Cl)cc1Cl","5.72353819582676","349.169","4","0","4","0","4","23","33","6","0","0.0","3","3","0","0","2","2","0","0","0","0","0","0","141.066618599634","52.58","5.5023","89.15","13.1742826918071","7.3329232616849","3.4457909935162","3.4457909935162","2.24743800317585","11.6624247997702","6.57699431566644","2.91532432551142","2.91532432551142","1.80036823685325","-2.43","15.4651032862071","6.77119731315912","3.85835557170081","4.55292460083886","0.65217","0.2286","0.74264"
