molecule_chembl_id,pIC50,npr1,npr2,SMILES
CHEMBL3322710,6.7520266,0.11806255,0.90642577,Cc1ccccc1OCC1CN(C(=O)C/C=c2/cnc3c(c2)CCC(=O)N=3)C1
CHEMBL3322712,6.0357404,0.11504506,0.91704845,Cc1ccc(OCC2CN(C(=O)C/C=c3/cnc4c(c3)CCC(=O)N=4)C2)cc1
CHEMBL3322713,5.850781,0.072539516,0.95137084,O=C1CCc2c/c(=C/CC(=O)N3CC(COc4ccc5ccccc5c4)C3)cnc2=N1
CHEMBL3322716,6.4282913,0.075475343,0.94885385,O=C1CCc2c/c(=C/CC(=O)N3CC(c4nc5ccccc5s4)C3)cnc2=N1
CHEMBL3322717,6.149354,0.10913686,0.93164063,Cc1c(C2CN(C(=O)C/C=c3/cnc4c(c3)CCC(=O)N=4)C2)sc2ccccc12
CHEMBL3322718,6.850781,0.10380658,0.91462952,Cc1c(C2CN(C(=O)C/C=c3/cnc4c(c3)CCC(=O)N=4)C2)oc2ccccc12
CHEMBL3322720,6.6903696,0.096302472,0.92183751,Cc1c(C2CN(C(=O)C/C=c3/cnc4c(c3)CCC(=O)N=4)C2)oc2ccc(Cl)cc12
CHEMBL3322721,6.6161847,0.056490097,0.96518064,Cc1cc(C2CN(C(=O)C/C=c3\cnc4c(c3)CCC(=O)N=4)C2)nc2ccccc12
CHEMBL3322722,6.6161847,0.049815856,0.9940809,O=C1CCc2c/c(=C/CC(=O)N3CC(c4ccccn4)C3)cnc2=N1
CHEMBL3322723,6.3115802,0.052210987,0.98335695,O=C1CCc2c/c(=C/CC(=O)N3CC(c4ccccc4)C3)cnc2=N1
CHEMBL3322724,6.7931743,0.11149501,0.93621337,CC(=O)/N=c1\ccc(/C=C/C(=O)N2CC(c3oc4ccccc4c3C)C2)c[nH]1
CHEMBL3322725,6.0741725,0.14123276,0.93182254,Cc1c(C2CN(C(=O)/C=C/c3cc/c(=N\C(=O)Cn4ccnn4)[nH]c3)C2)oc2ccccc12
CHEMBL3322727,6.415669,0.11738245,0.90801156,Cc1c(C2CN(C(=O)C/C=c3/cnc4c(c3)CNCC(=O)N=4)C2)oc2ccccc12
CHEMBL3322728,6.9507818,0.15329133,0.88106644,Cc1c(C2CN(C(=O)C/C=c3/cnc4c(c3)CN(C)CC(=O)N=4)C2)oc2ccccc12
CHEMBL3322730,6.5003128,0.096154772,0.93388277,Cc1c(C2CN(C(=O)CCc3cnc4c(c3)=NCCC(=O)N=4)C2)oc2ccccc12
