NEW_SMILES,similarity,ppIC$_{50}$ SVR,ppIC$_{50}$ Ridge,ppIC$_{50}$ RFR,mean,std
Cc1cc(O)ccc1Oc1cn(C)c(COc2ccccc2)cc1=O,0.8125,6.54418177688694,6.72011102037075,6.35979196472726,6.54136158732832,0.180176082116395
Cc1ccc(Oc2cn(C)c(COc3ccc(O)cc3)cc2=O)c(C)c1,0.8125,6.69322813157075,6.83186352237543,6.40872041598857,6.64460402331159,0.215721464042592
CCOc1ccc(OCc2cc(=O)c(Oc3ccc(C)cc3C)cn2C)cc1,0.8125,6.8358540932348,6.88334076517817,6.41639578325765,6.71186354722354,0.256981800251138
COc1ccc(OCc2cc(=O)c(Oc3ccc(C)cc3C)cn2C)cc1,0.8125,6.52091781690165,6.64002356435129,6.42699572611818,6.52931236912371,0.106761726970974
COc1ccc(Oc2cn(C)c(COc3ccccc3)cc2=O)c(C)c1,0.795918367346939,6.4807274927464,6.7404214153205,6.44402014524631,6.5550563511044,0.161576646251866
COc1cc(C)ccc1Oc1cn(C)c(COc2ccccc2)cc1=O,0.795918367346939,6.57293913879552,6.42056787898925,6.33800930158224,6.44383877312234,0.119181198133679
Cc1ccc(Oc2cn(C)c(COc3ccncc3)cc2=O)c(C)c1,0.795918367346939,6.35607281194588,6.67143785826866,6.42940713789681,6.48563926937045,0.165031262396234
Cc1ccc(Oc2cn(C)c(COc3ccccc3)cc2=O)c(O)c1,0.795918367346939,7.2546179972411,7.04963563344704,6.48679339753177,6.93034900940664,0.397568394098318
Cc1cc(N)ccc1Oc1cn(C)c(COc2ccccc2)cc1=O,0.795918367346939,6.40606032980942,6.63568070102095,6.43492563157296,6.49222222080111,0.125074190270076
Cc1ccc(Oc2cn(C)c(COc3ccccc3)cc2=O)c(N)c1,0.795918367346939,6.69018785760299,6.56491160395966,6.35637038252156,6.53715661469474,0.168630605879409
Cc1ccc(Oc2cn(C)c(COc3ccc(N)cc3)cc2=O)c(C)c1,0.795918367346939,6.52284325601081,6.4787211663378,6.43864047829258,6.48006830021373,0.0421175500370808
CCOc1cc(C)ccc1Oc1cn(C)c(COc2ccccc2)cc1=O,0.78,6.84798762753509,6.5208226192175,6.34189343874982,6.57023456183414,0.25663980017803
CCOc1ccc(Oc2cn(C)c(COc3ccccc3)cc2=O)c(C)c1,0.78,6.74489971397566,6.76465914334455,6.40387913269511,6.63781266333844,0.20283313667073
Cc1ccc(Oc2cn(C)c(COc3cccnc3)cc2=O)c(C)c1,0.769230769230769,6.2373407702991,6.39015990477064,6.39149135728597,6.33966401078524,0.0886170262936998
Cc1ccc(Oc2cn(C)c(COc3ccc(N(C)C)cc3)cc2=O)c(C)c1,0.764705882352941,6.6459643291652,6.80408182270482,6.4115505216218,6.62053222449727,0.197497593766003
Cc1ccc(Oc2cn(C)c(COc3ccc(C#N)cc3)cc2=O)c(C)c1,0.764705882352941,6.59104013464386,6.75073652958439,6.54582869826997,6.62920178749941,0.107652397302595
Cc1ccc(Oc2cn(C)c(COc3ccccc3)cc2=O)c(N(C)C)c1,0.764705882352941,6.74991629613778,6.84450368884327,6.32651399645581,6.64031132714562,0.275841018116856
Cc1cc(C#N)ccc1Oc1cn(C)c(COc2ccccc2)cc1=O,0.764705882352941,6.47933988837752,6.84940503862609,6.56106439605099,6.6299364410182,0.194408263174682
CNc1ccc(OCc2cc(=O)c(Oc3ccc(C)cc3C)cn2C)cc1,0.764705882352941,6.2639637483032,5.96461789647475,6.43312556173949,6.22056906883915,0.237249197590416
CNc1cc(C)ccc1Oc1cn(C)c(COc2ccccc2)cc1=O,0.764705882352941,6.64386264155493,6.42433280367078,6.36678106575053,6.47832550365875,0.146218872419241
Cc1cc(N(C)C)ccc1Oc1cn(C)c(COc2ccccc2)cc1=O,0.764705882352941,6.52694162459209,6.90395841028258,6.40818143164759,6.61302715550742,0.258856605306565
CNc1ccc(Oc2cn(C)c(COc3ccccc3)cc2=O)c(C)c1,0.764705882352941,6.18196415392115,6.18776048615394,6.43022331392511,6.26664931800007,0.141688879147247
Cc1ccc(Oc2cn(C)c(COc3ccn(C)c3)cc2=O)c(C)c1,0.76,6.49859355007765,6.66167622766162,6.42259055785331,6.52762011186419,0.122157256615326
Cc1ccc(Oc2cn(C)c(COc3ccc(=O)n(C)c3)cc2=O)c(C)c1,0.76,6.53888149057952,6.56232073078478,6.462592002803,6.5212647413891,0.0521461138076911
Cc1ccc(Oc2cn(C)c(COc3ccccc3)cc2=S)c(C)c1,0.755102040816326,6.57068836987295,6.67543830037756,6.33225447482594,6.52612704835881,0.175877991975616
Cc1ccc(Oc2cn(C)c(COc3ccc([S+](C)[O-])cc3)cc2=O)c(C)c1,0.75,6.50242438084333,6.73919362325549,6.42015058859605,6.55392286423162,0.165638717800657
