NEW_SMILES,similarity,ppIC$_{50}$ Ridge,ppIC$_{50}$ SVR,ppIC$_{50}$ RFR,mean,std
O=C(c1ccc(O)cc1)N1CCc2c(n(Cc3ccccc3)c3ccccc23)C1,0.9361702127659576,6.186882444994143,6.421513402675998,6.166216228536119,6.258204025402087,0.141807043742076
O=C(c1ccccc1)N1CCc2c(n(Cc3ccc(O)cc3)c3ccccc23)C1,0.9361702127659576,6.163011870461801,6.32011859511274,6.165149690536335,6.216093385370293,0.09009481541763655
O=C(c1ccc(Cl)cc1)N1CCc2c(n(Cc3ccc(O)cc3)c3ccccc23)C1,0.9183673469387756,6.262692286214842,6.608747752637468,6.240022905821709,6.370487648224672,0.2066503888647423
O=C(c1ccc(O)cc1)N1CCc2c(n(Cc3ccc(Cl)cc3)c3ccccc23)C1,0.9183673469387756,6.262692286214842,6.608747752637468,6.240022905821709,6.370487648224672,0.2066503888647423
Cc1ccc(Cn2c3c(c4ccccc42)CCN(C(=O)c2ccc(O)cc2)C3)cc1,0.9,6.497846011079394,6.609614910865546,6.245216315403983,6.450892412449641,0.1866817195437276
Cc1ccc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)cc1,0.9,6.497846011079394,6.609614910865546,6.245216315403983,6.450892412449641,0.1866817195437276
NC(=O)c1ccc(Cn2c3c(c4ccccc42)CCN(C(=O)c2ccc(O)cc2)C3)cc1,0.9,6.165459694900373,6.452134557564221,6.19226695148203,6.269953734648875,0.1583415499164486
Nc1ccc(Cn2c3c(c4ccccc42)CCN(C(=O)c2ccc(O)cc2)C3)cc1,0.9,6.079835830342125,6.164242188140864,6.154977266983074,6.133018428488687,0.04628986120338991
NC(=O)c1ccc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)cc1,0.9,6.165459694900373,6.452134557564221,6.19226695148203,6.269953734648875,0.1583415499164486
Nc1ccc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)cc1,0.9,6.079835830342125,6.164242188140864,6.154977266983074,6.133018428488687,0.04628986120338991
NC(=O)C(=O)c1ccc(Cn2c3c(c4ccccc42)CCN(C(=O)c2ccc(O)cc2)C3)cc1,0.8653846153846154,6.150421302460577,6.430440156533869,6.184390669272541,6.255084042755662,0.1528097001173289
CCCc1ccc(Cn2c3c(c4ccccc42)CCN(C(=O)c2ccc(O)cc2)C3)cc1,0.8653846153846154,6.338836877105567,6.190182187350221,6.207740430844598,6.245586498433462,0.081232984806175
NC(=O)C(=O)c1ccc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)cc1,0.8653846153846154,6.150421302460577,6.430440156533869,6.184390669272541,6.255084042755662,0.1528097001173289
NC(=O)Cc1ccc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)cc1,0.8653846153846154,6.221366478915273,6.404758417092289,6.192477566191815,6.272867487399793,0.1151306011490826
CCCc1ccc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)cc1,0.8653846153846154,6.338836877105567,6.190182187350221,6.207740430844598,6.245586498433462,0.081232984806175
NC(=O)Cc1ccc(Cn2c3c(c4ccccc42)CCN(C(=O)c2ccc(O)cc2)C3)cc1,0.8653846153846154,6.221366478915273,6.404758417092289,6.192477566191815,6.272867487399793,0.1151306011490826
N#Cc1ccc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)cc1,0.8490566037735849,6.225953228314783,6.559422324776209,6.309679083152822,6.365018212081272,0.1734855151493048
CNc1ccc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)cc1,0.8490566037735849,5.885850584539856,5.687781525661608,6.048164746836947,5.87393228567947,0.1804869826662645
COc1ccc(Cn2c3c(c4ccccc42)CCN(C(=O)c2ccc(O)cc2)C3)cc1,0.8490566037735849,6.306269633241948,6.421667521995275,6.20306737964293,6.31033484496005,0.1093567557074142
COc1ccc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)cc1,0.8490566037735849,6.306269633241948,6.421667521995275,6.20306737964293,6.31033484496005,0.1093567557074142
CNc1ccc(Cn2c3c(c4ccccc42)CCN(C(=O)c2ccc(O)cc2)C3)cc1,0.8490566037735849,5.885850584539856,5.687781525661608,6.048164746836947,5.87393228567947,0.1804869826662645
O=C(c1ccc(O)cc1)N1CCc2c(n(Cc3ccc(C(F)(F)F)cc3)c3ccccc23)C1,0.8490566037735849,6.094625993084093,5.865584302003176,6.20284233684137,6.054350877309546,0.1721984588453681
CSc1ccc(Cn2c3c(c4ccccc42)CCN(C(=O)c2ccc(O)cc2)C3)cc1,0.8490566037735849,6.148007512007263,6.216333079507798,6.129193740373333,6.164511443962798,0.04585412668116717
CN(C)c1ccc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)cc1,0.8490566037735849,6.267851165401858,6.567846819394036,6.164446080093661,6.333381354963184,0.2095320820900225
O=C(c1ccc(C(F)(F)F)cc1)N1CCc2c(n(Cc3ccc(O)cc3)c3ccccc23)C1,0.8490566037735849,6.094625993084093,5.865584302003176,6.20284233684137,6.054350877309546,0.1721984588453681
CSc1ccc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)cc1,0.8490566037735849,6.148007512007263,6.216333079507798,6.129193740373333,6.164511443962798,0.04585412668116717
N#Cc1ccc(Cn2c3c(c4ccccc42)CCN(C(=O)c2ccc(O)cc2)C3)cc1,0.8490566037735849,6.225953228314783,6.559422324776209,6.309679083152822,6.365018212081272,0.1734855151493048
CN(C)c1ccc(Cn2c3c(c4ccccc42)CCN(C(=O)c2ccc(O)cc2)C3)cc1,0.8490566037735849,6.267851165401858,6.567846819394036,6.164446080093661,6.333381354963184,0.2095320820900225
NC(=O)Oc1ccc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)cc1,0.8333333333333334,6.314120665101935,6.432789808332396,6.184304581390177,6.310405018274836,0.1242842770652803
CS(=O)(=O)c1ccc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)cc1,0.8333333333333334,6.365382494424834,6.4716328662548,6.223885902605178,6.35363375442827,0.1242906439279798
NC(=O)CCc1ccc(Cn2c3c(c4ccccc42)CCN(C(=O)c2ccc(O)cc2)C3)cc1,0.8333333333333334,5.960402603411607,6.072008294201364,6.158621397042455,6.063677431551809,0.09937165084409882
CS(=O)(=O)c1ccc(Cn2c3c(c4ccccc42)CCN(C(=O)c2ccc(O)cc2)C3)cc1,0.8333333333333334,6.365382494424834,6.4716328662548,6.223885902605178,6.35363375442827,0.1242906439279798
O=C(O)Sc1ccc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)cc1,0.8333333333333334,6.133343672108214,6.14497011138099,6.130997330481844,6.136437037990349,0.007482401745058199
O=C(O)Nc1ccc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)cc1,0.8333333333333334,6.292692982692943,6.254371562078662,6.259370396745656,6.26881164717242,0.02083232408277608
NC(=O)Oc1ccc(Cn2c3c(c4ccccc42)CCN(C(=O)c2ccc(O)cc2)C3)cc1,0.8333333333333334,6.314120665101935,6.432789808332396,6.184304581390177,6.310405018274836,0.1242842770652803
O=C(O)Oc1ccc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)cc1,0.8333333333333334,6.293613273052498,6.306175072424645,6.190703690980658,6.263497345485934,0.063353269868584
O=C(O)Oc1ccc(Cn2c3c(c4ccccc42)CCN(C(=O)c2ccc(O)cc2)C3)cc1,0.8333333333333334,6.293613273052498,6.306175072424645,6.190703690980658,6.263497345485934,0.063353269868584
