NEW_SMILES,similarity,ppIC$_{50}$ Ridge,ppIC$_{50}$ SVR,ppIC$_{50}$ RFR,mean,std
CCc1cc(O)c(Oc2ccc(C(N)=O)cc2O)cc1F,0.875,7.497306795337034,7.232134079332343,7.321892231710026,7.350444368793134,0.1348723868230096
CCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1O,0.875,7.141684545182571,7.086020211523937,6.935838387494524,7.054514381400344,0.1064782755193076
CCCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1F,0.8372093023255814,7.179250059984109,6.954976578796529,7.012209938088526,7.048812192289721,0.1165308643684393
CCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1C(N)=O,0.8333333333333334,7.226581681985054,7.031246568158551,6.927288743072239,7.061705664405281,0.1519535561574428
CCc1cc(O)c(Oc2ccc(C(N)=O)cc2C)cc1F,0.8333333333333334,7.385890759114829,7.304407793579926,7.289076453454808,7.326458335383187,0.05203770018429943
CCc1cc(O)c(Oc2ccc(C(=O)C(N)=O)cc2F)cc1F,0.813953488372093,7.491345590192561,7.390798215168531,7.363310858614362,7.415151554658485,0.06740205472246445
CCc1cc(O)c(Oc2ccc(C(N)=O)cc2N)cc1F,0.813953488372093,7.42594890825865,7.105736957378587,7.319183267099401,7.283623044245545,0.163040855182576
CCc1cc(O)c(Oc2ccc(C(N)=O)cc2C(N)=O)cc1F,0.813953488372093,7.49327060928841,7.070105524104656,7.298722672136694,7.287366268509921,0.2118109965444286
CCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1N,0.813953488372093,7.060060372593504,6.859383164438982,6.936467578465042,6.951970371832509,0.1012328401252242
CCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1C,0.813953488372093,7.008208155637245,6.885955765652064,6.915927202674834,6.936697041321381,0.06371774762438576
NC(=O)c1ccc(Oc2cc(F)c(CO)cc2O)c(F)c1,0.8095238095238095,7.19628515226549,7.087769282801748,6.813920362752897,7.032658265940044,0.1970498063927001
NCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1F,0.8095238095238095,6.96142413466958,7.127466330671207,6.821103700138814,6.969998055159867,0.153361173153808
CCc1cc(O)c(Oc2cc(C(N)=O)ccc2F)cc1F,0.8095238095238095,7.507156403542646,7.324016708488259,7.397067140491652,7.409413417507518,0.0921919730414089
CCCCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1F,0.8,7.178005022543712,6.927858562917158,7.011513606700565,7.039125730720478,0.1273386620810552
CCOCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1F,0.8,7.27888328453701,6.972868821386924,6.987013424046097,7.07958850999001,0.1727391756880904
CCc1cc(O)c(Oc2ccc(C(N)=O)cc2OC)cc1F,0.7954545454545454,7.316348294185734,6.875469742813531,7.285041777675536,7.158953271558268,0.2460024548580291
CCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1OC,0.7954545454545454,7.007049211419123,7.004944345084775,6.930444453471074,6.980812669991657,0.04363284934736267
CCc1cc(O)c(Oc2ccc(C(N)=O)cc2Cl)cc1F,0.7954545454545454,7.630448601944938,7.291635956667792,7.278455808720896,7.400180122444542,0.1995272125890192
COCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1F,0.7954545454545454,6.857659896133093,6.765204588348791,6.802317465856424,6.808393983446102,0.04652621877915471
CCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1Cl,0.7954545454545454,7.317931046319383,6.863615609255616,6.917868290644859,7.033138315406618,0.2481249948010942
CCc1cc(O)c(Oc2ccc(C(N)=S)cc2F)cc1F,0.7906976744186046,7.366855887945762,6.770303177829501,7.398856204015447,7.178671756596903,0.3540193174821413
NCCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1F,0.7906976744186046,6.784196160867742,6.729500485479083,6.803689877211268,6.772462174519364,0.038461425976111
CCc1cc(O)c(Oc2ccc(C(=O)O)cc2F)cc1F,0.7857142857142857,7.589780917067254,7.265110564488466,7.358734000242381,7.404541827266033,0.1671121695849239
CCSCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1F,0.782608695652174,7.186527483383211,6.575469448659168,7.002691749294851,6.921562893779076,0.3135034271713421
CCNCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1F,0.782608695652174,7.217073849643953,6.877704424133029,6.988840069460093,7.027872781079025,0.1730189763440665
CCOc1cc(Oc2ccc(C(N)=O)cc2F)c(O)cc1CC,0.7777777777777778,7.215958226176852,7.154405401143476,6.905521068126716,7.091961565149014,0.1643691934787011
CNCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1F,0.7777777777777778,6.974555555459849,6.979389615717951,6.795376061630688,6.916440410936162,0.1048726586828674
CN(C)Cc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1F,0.7777777777777778,7.228690664803349,7.181200718597526,6.776558228422689,7.062149870607855,0.2484668253754867
CSCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1F,0.7777777777777778,6.837223548898384,6.357789427498679,6.804950242717239,6.666654406371435,0.2679712166511848
CCc1cc(O)c(Oc2ccc(C(N)=O)cc2OC(N)=O)cc1F,0.7777777777777778,7.428014328675236,6.758345346576483,7.293993365218268,7.160117680156662,0.3543390476426926
CCCc1cc(Oc2ccc(C(N)=O)cc2F)c(O)cc1CC,0.7777777777777778,7.082443041554751,6.960795535987851,6.938819979205872,6.994019518916158,0.077361300343472
CCc1cc(O)c(Oc2ccc(C(=O)OC(N)=O)cc2F)cc1F,0.7777777777777778,7.563002340662421,7.384480697011436,7.365721240301019,7.437734759324958,0.1088896436977402
CCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1OC(N)=O,0.7777777777777778,7.160089475425724,7.121420245669828,6.947247984597706,7.07625256856442,0.1133819401218602
CCOc1cc(C(N)=O)ccc1Oc1cc(F)c(CC)cc1O,0.7777777777777778,7.463022844582726,6.912776027436922,7.252312872526257,7.209370581515302,0.277625503534391
CCCc1cc(C(N)=O)ccc1Oc1cc(F)c(CC)cc1O,0.7777777777777778,7.403101898122255,6.882324662659141,7.314855872966181,7.200094144582526,0.2787111819973393
NC(=O)c1ccc(Oc2cc(F)c(CCO)cc2O)c(F)c1,0.7727272727272727,6.955638281568568,6.847568596956904,6.819274566528403,6.874160481684625,0.0719660471675229
CCCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1O,0.7727272727272727,6.885564331692591,6.696105634489616,6.746513715009996,6.776061227064068,0.09812462019239265
CCc1cc(O)c(Oc2ccc(C(=O)S)cc2F)cc1F,0.7674418604651163,7.457557676547478,7.627019546469753,7.369106785614099,7.484561336210443,0.1310597050181382
CCc1cc(C)c(Oc2ccc(C(N)=O)cc2F)cc1F,0.7674418604651163,6.857865012292805,7.066978779411748,6.685377945745487,6.870073912483346,0.1910931500514692
CCc1cc(C(N)=O)c(Oc2ccc(C(N)=O)cc2F)cc1F,0.7674418604651163,6.900470175818504,6.938136913388876,6.696422137058851,6.845009742088743,0.1300515399992957
CCc1cc(N)c(Oc2ccc(C(N)=O)cc2F)cc1F,0.7674418604651163,6.886984150992536,6.756203395823386,6.708285544906645,6.783824363907523,0.09249587213864595
CCc1cc(O)c(Oc2ccc(C(N)=O)cc2C(F)(F)F)cc1F,0.7608695652173914,7.390250110466611,6.979682825568358,7.319183267099401,7.229705401044789,0.2194221735432542
CCc1cc(O)c(Oc2ccc(C(=O)NC(N)=O)cc2F)cc1F,0.7608695652173914,7.393529178561472,7.012694506245512,7.210946320017988,7.205723334941658,0.1904710518407769
CCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1SC,0.7608695652173914,7.001516625517133,6.728431658954365,6.912455780123826,6.880801354865107,0.1392671954176279
CCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1N(C)C,0.7608695652173914,7.178333442810341,7.134223809425745,6.895918595139245,7.069491949125111,0.1519282621823788
CCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1NC,0.7608695652173914,6.885965963611104,6.639589250802764,6.897652267934657,6.807735827449508,0.1457363916655693
CCc1cc(O)c(Oc2ccc(C(N)=O)cc2SC)cc1F,0.7608695652173914,7.426012574118192,6.857293481033363,7.274568859182449,7.185958304778001,0.2945322129643979
CCc1cc(O)c(Oc2ccc(C(N)=O)cc2NC)cc1F,0.7608695652173914,7.316500535167234,6.870544048157465,7.255950893084347,7.147665158803015,0.2418959430481603
CCc1cc(O)c(Oc2ccc(C(=O)SC(N)=O)cc2F)cc1F,0.7608695652173914,7.586888843241736,6.917807376041584,7.283279986999364,7.262658735427562,0.3350170584462344
COCCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1F,0.7608695652173914,6.974371020170415,6.87932100832389,6.804461271017742,6.886051099837349,0.08515457306049809
CCc1cc(O)c(Oc2ccc(C(N)=O)cc2N(C)C)cc1F,0.7608695652173914,7.491280426845265,7.380038656500316,7.278376434111675,7.383231839152419,0.1064879093703287
