NEW_SMILES,pIC50,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeavyAtoms,NumAtoms,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR,chi0v,chi1v,chi2v,chi3v,chi4v,hallKierAlpha,kappa1,kappa2,kappa3,Phi,Total Surface Area,Shape Index,Molecular Flexibility,Molecular Complexity
CCc1cc(O)c(Oc2ccccc2F)cc1F,8.096910013008056,250.244,2,1,3,1,2,18,30,4,0,0.1428571428571428,2,2,0,0,0,0,0,0,0,0,0,0,103.4572313419096,29.46,4.025100000000001,63.91680000000002,9.782599228306578,5.552530540571769,2.565450903530143,2.565450903530143,1.585494849542978,-2.1,12.35936766919926,5.0398785035276,2.422575172023754,3.460539524066187,188.09,0.61111,0.4639,0.73284
CCc1cc(O)c(Oc2ccc(C#N)cc2F)cc1F,7.508638306165727,275.254,3,1,3,1,3,20,31,5,0,0.1333333333333333,2,2,0,0,0,0,0,0,0,0,0,0,114.2147531377749,53.25,3.896780000000001,68.63180000000001,10.65246255461691,5.936820940844707,2.789778820115875,2.789778820115875,1.711148635141598,-2.61,13.81319143469052,5.574134102951315,2.694609620874628,3.849829072335171,209.8,0.65,0.47438,0.76043
COc1ccc(-c2c[nH]c(Cc3ccc(C)cc3)n2)cc1,4.1791420105603,278.355,3,1,4,1,2,21,39,3,0,0.1666666666666667,3,3,0,0,1,1,0,0,0,0,0,0,124.1827715062826,37.91,3.984520000000003,84.56070000000004,12.258721089857,6.986777491663764,3.508865670059469,3.508865670059469,2.261113780941983,-2.55,13.43385351594024,5.833949888961301,3.135142847465663,3.732020391792474,229.39,0.71429,0.50706,0.72049
Cc1ccc(Cn2cnc(-c3cccc(Cl)c3Cl)c2)cc1,5,317.2190000000001,2,0,3,0,2,21,35,4,0,0.1176470588235294,3,3,0,0,1,1,0,0,0,0,0,0,133.5207881027377,17.82,5.213620000000003,87.96400000000003,13.06547323294846,7.405937318126281,4.165447120341534,4.165447120341534,2.588915197465129,-1.77,14.17922954279764,5.922170807796311,3.120233476710645,3.998658060733297,237.6,0.61905,0.50909,0.76523
c1ccc(-c2ccc(Cn3cnc(-c4ccsc4)c3)cc2)cc1,5.115771230367396,316.429,2,0,4,0,3,23,39,3,0,0.05,4,4,0,0,2,2,0,0,0,0,0,0,139.2467710110533,17.82,5.326900000000003,96.52000000000002,13.40918261223282,8.51360773066132,4.55962654255561,4.55962654255561,3.29954035310752,-2.65,13.97502464590144,6.225934344459867,3.099571963937214,3.782938517721343,250.2,0.65217,0.50538,0.72855
CC(=O)N=c1ccc(C=CC(=O)N(C)Cc2cc3ccccc3n2C)c[nH]1,6.522878745280337,362.433,6,1,4,1,3,27,49,6,2,0.1904761904761905,3,3,0,0,2,2,0,0,0,0,0,0,157.017075984992,70.46000000000001,2.625400000000001,105.4637,15.63874684051041,8.643908639438582,4.343064374334962,4.343064374334962,2.884949422367113,-3.41,18.38314576922495,7.864963230903204,4.412081267629401,5.354917242344002,292.04,0.62963,0.41937,0.78821
CN(Cc1cc2ccccc2n1C)C(=O)C=Cc1ccc(=N)[nH]c1,5.619788758288394,320.396,5,2,4,2,3,24,44,5,1,0.1578947368421053,3,3,0,0,2,2,0,0,0,0,0,0,139.9156981695596,64.88,2.65767,95.07440000000004,13.78328495454659,7.742570898706693,4.081582802422177,4.081582802422177,2.653989650232944,-3.08,15.80196595488063,6.579788669907831,3.298205534647352,4.332233189674701,259.37,0.625,0.43122,0.76987
Cc1c(CN(C)C(=O)CC=c2cnc3c(c2)CCC(=O)N=3)c2ccccc2n1C,7.221848749616356,388.4710000000001,6,0,4,0,4,29,53,6,2,0.3043478260869565,4,3,1,0,3,2,0,1,0,0,0,0,168.7411290602559,67.56,1.80332,111.558,16.97522997200113,9.773255584133485,5.666619750974747,5.666619750974747,3.818734023063936,-3.28,19.0545644431685,7.621059420106889,3.70077794029208,5.007447167091141,304.83,0.58621,0.51321,0.87243
COc1ccc(-c2cn(Cc3ccc(C(F)(F)F)cc3)cn2)cc1,5.39040559077478,332.325,3,0,4,0,3,24,39,6,0,0.1666666666666667,3,3,0,0,1,1,0,0,0,0,0,0,136.8893492016566,27.05,4.625800000000003,84.76100000000002,12.91717837357427,7.27871331349786,3.66543974331796,3.66543974331796,2.367369748722528,-2.76,16.11028714810064,6.390769171980089,3.58762396694215,4.289880269076192,246.22,0.66667,0.56108,0.73199
COc1ccc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)cc1,6.431798275933005,412.4890000000001,5,1,4,1,4,31,55,5,1,0.1923076923076923,5,4,1,0,2,1,0,1,0,0,0,0,180.6593442557703,54.7,4.602300000000004,120.5853,17.41476772244931,10.44035192103944,6.067690423322983,6.067690423322983,4.448357427063786,-3.73,19.24640059770126,7.835587371630115,3.523430295955823,4.864737208796203,314.78,0.54839,0.40562,0.89773
