NEW_SMILES,pIC50,Shape Index,Molecular Flexibility,Molecular Complexity
O=C1CCc2cc(=CCC(=O)N3CC(c4nc5ccccc5s4)C3)cnc2=N1,6.42829116819131,0.64286,0.4314,0.82134
Cc1c(C2CN(C(=O)CC=c3cnc4c(c3)CCC(=O)N=4)C2)sc2ccccc12,6.14935376481693,0.62069,0.43187,0.84517
Cc1c(C2CN(C(=O)CC=c3cnc4c(c3)CCC(=O)N=4)C2)oc2ccccc12,6.85078088734462,0.62069,0.43187,0.84517
Cc1c(C2CN(C(=O)CC=c3cnc4c(c3)CCC(=O)N=4)C2)oc2ccc(Cl)cc12,6.6903698325741,0.63333,0.43232,0.85945
Cc1cc(C2CN(C(=O)CC=c3cnc4c(c3)CCC(=O)N=4)C2)nc2ccccc12,6.61618463401957,0.63333,0.4208,0.83644
O=C1CCc2cc(=CCC(=O)N3CC(c4ccccn4)C3)cnc2=N1,6.61618463401957,0.68,0.45087,0.78413
O=C1CCc2cc(=CCC(=O)N3CC(c4ccccc4)C3)cnc2=N1,6.31158017799729,0.68,0.47527,0.76987
CC(=O)N=c1ccc(C=CC(=O)N2CC(c3oc4ccccc4c3C)C2)c[nH]1,6.79317412396815,0.64286,0.30595,0.8024
Cc1c(C2CN(C(=O)C=Cc3ccc(=NC(=O)Cn4ccnn4)[nH]c3)C2)oc2ccccc12,6.07417242537526,0.63636,0.33507,0.82405
Cc1c(C2CN(C(=O)CC=c3cnc4c(c3)CNCC(=O)N=4)C2)oc2ccccc12,6.41566877563247,0.6,0.42804,0.84935
Cc1c(C2CN(C(=O)CC=c3cnc4c(c3)CN(C)CC(=O)N=4)C2)oc2ccccc12,6.95078197732982,0.58065,0.42355,0.8577
Cc1c(C2CN(C(=O)CCc3cnc4c(c3)=NCCC(=O)N=4)C2)oc2ccccc12,6.5003129173816,0.6,0.45629,0.85157
Cc1ccc(Oc2coc(/C=C/c3ccoc3)cc2=O)c(C)c1,5.64016451766011,0.65217,0.2286,0.74264
O=c1cc(COc2ccccc2)n(C2CC2)cc1Oc1cccc(Cl)c1Cl,5.82390874094432,0.55556,0.35731,0.79438
O=c1cc(COc2ccccc2)[nH]cc1Oc1c(Cl)cccc1Cl,5.30277065724028,0.625,0.45415,0.72413
Cn1cc(Oc2c(Cl)cccc2Cl)c(=O)cc1COc1ccccc1,6.14266750356873,0.6,0.4457,0.75032
O=c1cc(COc2ccccc2)n(C2CC2)cc1Oc1c(Cl)cccc1Cl,5.19178902707578,0.55556,0.42097,0.78235
O=c1cc(COc2ccccc2)[nH]cc1Oc1cccc([N+](=O)[O-])c1Cl,4.93070198788447,0.61538,0.40521,0.77625
Cn1cc(Oc2cccc([N+](=O)[O-])c2Cl)c(=O)cc1COc1ccccc1,6.18045606445813,0.59259,0.39844,0.79493
